,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
27,4158 CROWN CRESCENT,2332142,0,0,0,0,1,1,1,1,0,0,0,0,0,4195,6024,2016,2,1,4,5,1,4,0,0,49.2646252,-123.1957832,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6298000,5990000,1427,1/14/2019,1/26/2019,12
28,950 FAIRMILE ROAD,2329986,0,0,0,0,1,1,0,0,0,0,0,0,0,8826,16768,2019,6,2,6,7,1,6,0,0,49.9621097,-125.2251023,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9980000,6000000,648.51,1/7/2019,3/17/2019,69
29,4541 W 3RD AVENUE,2352886,0,1,0,0,1,1,1,1,1,0,0,0,0,3231,8416,1929,0,1,5,3,1,2,0,0,49.2688891,-123.1387921,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6389000,6010000,1860,3/28/2019,4/16/2019,19
30,3325 CRAIGEND ROAD,2320824,0,0,0,0,1,1,0,0,0,0,0,0,0,6405,11992,2017,6,2,5,8,1,7,0,0,49.3445842,-123.2102048,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7688000,6047619,944.2,11/5/2018,04/09/2019,155
31,3351 CRAIGEND ROAD,2334415,0,0,0,0,1,1,0,0,0,0,0,0,0,6041,12389,2018,6,3,5,7,0,7,0,0,49.3445842,-123.2102048,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7488000,6142857,1016,1/21/2019,05/06/2019,105
32,670 KENWOOD ROAD,2358490,0,0,0,0,0,0,1,0,0,0,0,0,0,8009,32000,2017,8,2,7,9,1,8,0,0,49.354406,-123.1319272,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7388000,6200000,774.13,4/11/2019,5/28/2019,47
33,1192 W 26TH AVENUE,2308910,0,0,0,0,0,0,1,0,0,0,0,0,0,5060,7250,2014,4,2,7,7,1,6,0,0,49.2481571,-123.1283062,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7380000,6280000,1241,9/19/2018,1/27/2019,130
34,3350 W 55TH AVENUE,2350092,0,1,0,0,0,0,0,0,0,0,0,0,0,4234,43563,1988,4,2,7,5,1,4,0,0,49.22043,-123.1331251,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6450000,6300000,1487,3/16/2019,04/04/2019,19
35,5878 MARGUERITE STREET,2342138,0,0,0,0,0,0,0,0,0,0,0,0,0,5594,9503,2002,0,2,6,7,2,5,0,0,49.2357095,-123.1446809,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6998000,6380000,1140,2/15/2019,03/02/2019,15
36,309 1336 MAIN STREET,2343015,0,0,0,0,0,0,0,0,0,1,0,0,0,650,0,2008,0,1,1,1,0,1,0,3,49.11499062,-117.5439107,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,434000,420000,646.15,2/25/2019,5/20/2019,84
