,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
4335,9 2720 CHEAKAMUS WAY,2334271,0,0,0,0,1,0,1,0,0,0,0,1,0,915,0,1999,1,0,2,1,0,1,0,0,49.7419806,-123.1303287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,729000,720000,786.89,1/19/2019,1/26/2019,7
4336,910 175 W 1ST STREET,2320798,0,0,1,1,1,1,0,1,1,1,0,1,0,744,0,2004,1,1,1,1,0,1,0,9,49.54300794,-120.7611117,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,729000,720000,967.74,11/5/2018,01/08/2019,64
4337,108 3760 W 6TH AVENUE,2357918,0,1,1,1,1,0,0,1,0,0,0,1,1,861,0,1989,1,1,1,1,0,1,0,1,49.2660716,-123.1321043,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,729999,720000,836.24,4/10/2019,4/19/2019,9
4338,333 4800 SPEARHEAD DRIVE,2359299,0,1,0,0,0,0,0,1,0,0,1,1,0,590,0,1993,1,1,1,1,0,1,0,3,50.1180196,-122.9428344,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,749000,720000,1220,4/13/2019,4/18/2019,5
4339,2010 939 EXPO BOULEVARD,2339686,0,0,0,0,1,1,0,1,0,1,1,1,0,675,0,2005,1,0,1,1,0,1,0,20,49.2744678,-123.1177951,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,735000,720000,1066,2/8/2019,2/13/2019,5
4340,2811 833 SEYMOUR STREET,2357159,0,0,0,0,1,1,1,1,1,1,0,0,1,659,0,2011,1,0,1,1,0,1,0,28,49.28050795,-123.1197364,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,749000,720000,1092,4/9/2019,5/15/2019,36
4341,412 1405 W 15TH AVENUE,2332082,0,0,0,0,0,0,0,0,0,1,0,1,0,951,0,1977,1,0,2,1,0,1,0,4,49.258221,-123.1370181,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,725000,720000,757.1,1/14/2019,2/22/2019,39
4342,203 120 E 4TH STREET,2358559,0,0,1,1,0,0,0,0,1,1,0,1,0,664,0,1972,1,0,1,1,0,1,0,2,49.31400835,-123.0750622,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,369000,360000,542.17,4/12/2019,06/03/2019,52
4343,304 2275 W 40TH AVENUE,2344822,0,0,0,0,0,0,0,0,1,1,0,1,0,1128,0,1973,1,1,2,2,1,1,0,3,49.2357095,-123.1446809,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,739000,720000,638.3,2/28/2019,4/23/2019,54
4344,44 12020 GREENLAND DRIVE,2343200,0,0,0,0,0,0,0,0,0,0,0,1,0,1348,0,1990,2,1,3,3,1,2,0,0,49.1878219,-123.0883285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,728000,720000,534.12,2/25/2019,03/03/2019,6
4345,14 8220 BENNETT ROAD,2368361,0,0,0,0,0,0,0,0,0,0,0,1,0,1398,0,1989,0,1,3,3,0,3,0,0,49.9591419,-119.4608821,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,768000,720000,515.02,5/9/2019,06/09/2019,31
4346,98 2380 RANGER LANE,2373882,0,0,0,0,0,0,0,1,0,0,1,0,1,1406,0,2016,2,1,3,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,765000,720000,512.09,5/27/2019,6/15/2019,19
4347,301 1050 BOWRON COURT,2347159,0,0,1,1,0,0,0,0,0,1,0,1,0,1387,0,1987,2,1,2,2,0,2,0,3,49.8955136,-119.4386666,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,739000,720000,519.11,3/8/2019,3/22/2019,14
4348,28 1731 PRAIRIE AVENUE,2336005,0,0,0,0,0,1,1,0,0,0,0,1,0,1950,0,2015,2,2,4,4,1,3,0,0,49.2711847,-122.7562163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,699000,720000,369.23,1/28/2019,02/04/2019,7
4349,7403 MAGNOLIA TERRACE,2351789,0,1,1,1,0,0,0,0,0,1,0,1,0,1193,0,1999,2,1,3,2,0,2,0,0,49.2160121,-122.9639596,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,725000,720000,603.52,3/25/2019,04/01/2019,7
4350,1 323 GOVERNORS COURT,2342032,0,1,0,0,0,0,1,1,1,0,0,1,1,1814,0,1993,0,2,2,3,1,2,0,0,49.2194616,-122.8949925,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,769900,720000,396.91,2/20/2019,03/04/2019,12
4351,305 1950 ROBSON STREET,2377160,0,0,1,1,0,0,0,0,0,1,0,0,0,888,0,1985,1,0,2,1,0,1,0,3,49.29274725,-123.1380122,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,728000,720000,810.81,6/5/2019,6/19/2019,14
4352,24367 102B AVENUE,2355317,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,4273,2004,3,1,4,4,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,729900,720000,322.73,4/2/2019,04/09/2019,7
4353,204 9847 MANCHESTER DRIVE,2325845,0,0,0,0,0,0,0,0,1,1,1,1,1,674,0,1982,1,0,1,1,0,1,0,2,49.2467581,-122.8980349,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,369900,360000,534.12,11/29/2018,1/30/2019,62
4354,1102 7680 GRANVILLE AVENUE,2343894,0,0,0,0,0,0,0,0,0,1,0,0,1,1215,0,1997,2,0,3,2,0,2,0,11,49.16237775,-123.1417173,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,765000,720000,592.59,2/27/2019,03/11/2019,12
4355,505 1238 SEYMOUR STREET,2333917,0,0,1,1,0,1,0,1,0,1,0,1,1,862,0,1996,1,0,1,1,0,1,0,5,49.2757065,-123.1260869,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,739900,720000,835.27,1/21/2019,2/18/2019,28
4356,6878 VILLAGE GREEN,2356568,0,0,0,0,0,0,0,0,0,0,0,1,0,1149,0,1999,2,1,3,2,0,2,0,0,48.4145373,-123.3756132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,724800,720000,626.63,4/8/2019,4/19/2019,11
4357,603 231 E PENDER STREET,2340301,0,0,1,1,0,1,0,1,1,1,1,1,0,753,0,2016,1,0,1,1,0,1,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,739000,720000,956.18,2/12/2019,2/26/2019,14
4358,108 41328 SKYRIDGE PLACE,2373835,0,0,1,1,0,0,0,0,0,1,0,1,0,1082,0,2020,1,1,2,2,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,719000,720000,665.43,5/23/2019,5/29/2019,6
4359,114 7499 6TH STREET,2347276,0,0,1,1,0,1,1,1,0,1,0,1,0,1183,0,2018,1,0,3,3,1,2,0,0,49.5048217,-115.0630534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,739375,720000,608.62,3/11/2019,05/06/2019,56
4360,841 O'SHEA ROAD,2314586,0,0,0,0,0,0,1,1,0,0,0,0,0,1780,8712,1990,4,2,3,3,1,2,0,0,49.40359665,-123.5162296,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,750000,720000,404.49,10/11/2018,02/04/2019,116
4361,1206 ISLAND PARK WALK,2356394,0,0,0,0,1,0,0,1,0,1,0,1,1,1287,0,1980,1,1,2,2,0,2,0,0,49.2706587,-123.138199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,585000,720000,559.44,4/8/2019,4/14/2019,6
4362,600 4830 BENNETT STREET,2343638,0,0,0,0,0,1,1,1,0,1,1,1,1,1084,0,1992,1,1,2,2,0,2,0,6,49.22493275,-122.9960658,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,728000,720000,664.21,2/26/2019,03/04/2019,6
4363,1006 5611 GORING STREET,2352490,0,0,1,1,1,0,0,1,0,1,1,0,1,1071,0,2008,2,1,2,2,0,2,0,10,49.2627811,-122.9866916,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,728800,720000,672.27,3/27/2019,05/06/2019,40
4364,302 5855 COWRIE STREET,2342333,0,0,0,0,0,0,0,0,0,1,1,0,1,980,0,1998,1,1,2,2,0,2,0,3,49.4722221,-123.7665792,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,375000,360000,367.35,2/19/2019,3/13/2019,22
4365,2606 2289 YUKON CRESCENT,2345221,0,1,1,1,1,1,1,1,0,1,1,0,1,871,0,2008,1,1,2,2,0,2,0,26,49.2641466,-122.9951762,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,748888,720000,826.64,3/4/2019,3/22/2019,18
4366,1707 110 BREW STREET,2354120,0,1,1,1,1,0,1,1,1,0,1,1,1,1018,0,2008,1,1,2,2,0,2,0,17,49.2802424,-122.8285026,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,738900,720000,707.27,4/1/2019,4/25/2019,24
4367,55 1295 SOBALL STREET,2357210,0,0,1,1,0,0,0,0,0,1,0,1,0,1494,0,2012,2,0,3,3,1,2,0,0,49.2890709,-122.7502559,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,740000,720000,481.93,4/8/2019,5/23/2019,45
4368,24193 102 AVENUE,2356861,0,0,0,0,0,0,0,0,0,0,0,0,0,2180,2600,2013,2,1,3,4,1,3,0,0,49.1881413,-122.7354392,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,729800,720000,330.28,4/8/2019,05/03/2019,25
4369,403 8811 LANSDOWNE ROAD,2323229,0,0,0,0,0,0,0,1,0,1,1,0,1,1370,0,1992,1,0,2,2,0,2,0,4,49.17424205,-123.125959,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,768000,720000,525.55,11/14/2018,2/16/2019,94
4370,24 1195 FALCON DRIVE,2347273,0,1,0,0,0,0,0,0,1,1,0,1,0,1656,0,1986,0,1,3,3,1,2,0,0,49.2839688,-122.81875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,749900,720000,434.78,3/11/2019,03/11/2019,0
4371,15 1320 RILEY STREET,2329150,0,0,1,1,1,0,1,1,0,1,0,0,0,1437,0,2013,3,0,3,3,1,2,0,0,49.2934135,-122.7442142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,748000,720000,501.04,1/2/2019,1/22/2019,20
4372,1203 6951 ELMBRIDGE WAY,2283469,0,0,0,0,1,0,1,0,0,0,1,0,0,907,0,2014,1,0,2,2,0,2,0,12,49.1707052,-123.1525305,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,788000,720000,793.83,6/25/2018,6/19/2019,359
4373,20 1731 PRAIRIE AVENUE,2341847,0,0,1,1,0,1,1,0,0,0,0,1,0,1950,0,2014,2,2,4,4,1,3,0,0,49.2711847,-122.7562163,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,699000,720200,369.33,2/19/2019,2/26/2019,7
4374,7213 QUATSINO DRIVE,2305258,0,0,0,0,0,0,0,0,0,0,1,0,1,1790,0,1980,2,2,3,3,1,2,0,0,49.2194571,-123.0249781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,749000,722000,403.35,9/10/2018,4/15/2019,217
4375,109 12155 191B STREET,2350024,0,0,1,1,0,0,0,0,0,1,1,1,0,872,0,1997,2,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,365000,360000,412.84,3/19/2019,3/26/2019,7
4376,346 4314 MAIN STREET,2341229,0,0,0,0,0,0,0,0,0,1,1,1,0,578,0,1996,1,1,1,1,0,1,0,3,50.1167215,-122.9550041,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,718000,723000,1250,2/13/2019,03/08/2019,23
4377,918 7988 ACKROYD ROAD,2373636,0,0,0,0,0,0,0,1,0,0,1,1,1,899,0,2013,1,0,2,2,0,2,0,9,49.1720166,-123.1367009,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,738000,723000,804.23,5/27/2019,06/02/2019,6
4378,5 7360 MINORU BOULEVARD,2359755,0,0,0,0,0,0,0,0,0,1,0,1,0,1450,0,1987,2,1,3,3,1,2,0,0,49.169758,-123.1401145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,758000,723000,498.62,4/15/2019,06/09/2019,55
4379,22631 LEE AVENUE,2315971,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,7296,1972,0,2,3,2,1,1,0,0,48.4330142,-123.3256077,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,729000,723000,420.35,10/16/2018,2/22/2019,129
4380,1107 BENNET DRIVE,2359316,0,0,0,0,0,0,1,0,0,1,0,0,0,2100,0,1995,2,2,3,3,1,2,0,0,49.2345175,-122.7908334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,749900,723500,344.52,4/15/2019,5/21/2019,36
4381,303 1350 VIEW CRESCENT,2346459,0,1,1,1,1,0,1,0,1,1,1,0,0,1290,0,1984,1,0,2,2,0,2,0,3,49.027798,-123.0676099,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,739000,724000,561.24,3/6/2019,5/30/2019,85
4382,108 6588 BARNARD DRIVE,2355565,0,1,0,0,0,0,0,1,0,0,1,0,1,1392,0,1995,2,0,3,2,0,2,0,0,49.1672583,-123.184528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,745000,724000,520.11,4/4/2019,05/07/2019,33
4383,31 3459 WILKIE AVENUE,2350074,0,0,0,0,0,0,0,1,0,1,0,0,0,1382,0,2010,2,1,2,3,0,3,0,0,49.2866253,-122.7546668,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,729800,724800,524.46,3/18/2019,3/21/2019,3
4384,2755 HORLEY STREET,2370931,0,0,1,1,0,0,0,0,0,1,0,1,0,887,0,2019,0,0,3,2,0,2,0,0,49.2392104,-123.0455044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,724900,724900,817.25,5/16/2019,06/09/2019,24
4385,208 789 W 16TH AVENUE,2357007,0,0,0,0,0,0,0,0,0,1,0,1,0,906,0,1995,1,1,2,1,0,1,0,2,49.2570759,-123.1392787,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,729000,725000,800.22,4/8/2019,4/15/2019,7
4386,366 8151 RYAN ROAD,2369702,0,0,0,0,1,0,1,1,0,0,0,1,0,860,0,1970,1,0,2,1,0,1,0,3,49.1398055,-123.1345906,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,199800,182000,211.63,5/9/2019,5/24/2019,15
4387,312 7295 MOFFATT ROAD,2322823,0,1,0,0,0,0,0,0,0,1,1,1,0,677,0,1982,1,1,1,1,0,1,0,3,49.1621118,-123.1436405,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,379000,360000,531.76,11/14/2018,2/15/2019,93
4388,2101 10 LAGUNA COURT,2357382,1,0,0,0,0,1,0,1,1,1,0,1,0,1220,0,1996,2,1,2,2,0,2,0,21,49.199657,-122.9228061,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,749900,725000,594.26,4/9/2019,4/14/2019,5
4389,908 1009 EXPO BOULEVARD,2338055,0,0,0,0,0,0,0,0,0,1,1,1,1,740,0,1998,1,0,2,1,0,1,0,9,49.2744678,-123.1177951,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,768000,725000,979.73,2/4/2019,04/09/2019,64
4390,133 1140 CASTLE CRESCENT,2366206,0,0,0,0,1,0,1,1,0,0,0,1,0,1644,0,1987,2,1,3,3,1,2,0,0,49.2333014,-122.7765087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,748000,725000,441,5/6/2019,5/30/2019,24
4391,302 444 E 6TH AVENUE,2353755,0,0,1,1,1,1,1,1,1,1,0,1,0,965,0,1974,1,0,2,2,1,1,0,3,49.2652224,-123.0811732,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,738000,725000,751.3,4/1/2019,04/08/2019,7
4392,504 8811 LANSDOWNE ROAD,2308000,0,0,0,0,0,0,0,0,0,0,1,1,0,1357,0,1990,1,0,2,2,0,2,0,5,49.17424205,-123.125959,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,789000,725000,534.27,9/18/2018,2/21/2019,156
4393,45 2380 RANGER LANE,2332598,0,0,1,1,0,0,0,0,0,1,1,1,1,1315,0,2016,2,0,3,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,739900,725000,551.33,1/15/2019,2/18/2019,34
4394,39 10525 240 STREET,2348928,0,0,1,1,0,0,0,0,0,1,0,1,0,1918,0,2016,0,1,3,4,2,2,0,0,49.215432,-122.5569218,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,725000,725000,312.9,3/14/2019,3/29/2019,15
4395,58 2358 RANGER LANE,2376719,0,0,1,1,0,0,0,0,1,1,1,0,1,1430,0,2015,2,0,3,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,725000,725000,506.99,6/4/2019,06/06/2019,2
4396,28 1560 PRINCE STREET,2325150,0,1,1,1,1,0,1,1,0,0,0,1,0,1965,0,1992,1,1,2,2,0,2,0,0,53.9406586,-124.1049305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,751288,725000,368.96,11/26/2018,4/26/2019,151
4397,1601 1185 QUAYSIDE DRIVE,2342426,0,0,0,0,0,0,0,0,0,1,1,0,1,1613,0,1995,2,1,3,2,0,2,0,16,49.2009132,-122.9278272,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700000,725000,449.47,2/18/2019,04/01/2019,42
4398,220 98 LAVAL STREET,2334227,0,0,1,1,0,1,0,1,1,1,0,1,0,644,0,1991,1,1,1,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,370000,360000,559.01,1/21/2019,02/06/2019,16
4399,110 4438 ALBERT STREET,2350285,0,0,1,1,0,0,0,0,0,1,0,0,0,1074,0,2004,1,1,2,3,1,2,0,0,49.2820337,-123.0209511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,748000,725000,675.05,3/19/2019,4/24/2019,36
4400,4 8073 TIMBER LANE,2333715,0,0,0,0,0,0,0,0,0,0,0,1,1,1009,0,1973,2,1,3,1,0,1,0,0,50.1462325,-122.9614037,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,699000,725000,718.53,1/17/2019,1/20/2019,3
4401,1502 328 CLARKSON STREET,2342173,0,0,1,1,0,1,1,1,0,0,1,1,0,1261,0,1993,1,0,3,2,0,2,0,15,49.2050013,-122.9052912,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,769000,725000,574.94,2/19/2019,03/12/2019,21
4402,705 301 CAPILANO ROAD,2333856,0,0,1,1,0,0,1,1,0,1,1,0,0,1035,0,2013,2,0,2,2,0,2,0,7,49.3535375,-123.106929,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,749900,725000,700.48,1/21/2019,02/05/2019,15
4403,207 CENTENNIAL PARKWAY,2353278,0,0,0,0,0,0,0,0,0,0,0,0,0,800,5092,1901,4,0,2,1,0,1,0,0,49.0060883,-123.0368252,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,799900,725000,906.25,3/28/2019,5/26/2019,59
4404,226 4955 RIVER ROAD,2355042,1,0,1,1,1,0,1,1,1,1,0,0,0,1496,0,1992,2,1,2,2,0,2,0,2,49.0938608,-123.0845321,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,698888,725000,484.63,4/3/2019,4/22/2019,19
4405,1205 1196 PIPELINE ROAD,2360245,0,0,1,1,0,0,1,0,0,1,1,1,1,1300,0,1997,2,1,3,2,0,2,0,12,49.2840167,-122.7861016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,748800,725000,557.69,4/17/2019,06/10/2019,54
4406,3334 BEACH AVENUE,2352360,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,30056,1973,0,2,4,3,1,2,0,0,49.2863175,-123.1424705,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,748000,725000,276.51,3/25/2019,05/07/2019,43
4407,1401 1028 BARCLAY STREET,2318208,0,0,0,0,0,1,0,1,0,0,1,1,1,668,0,2011,1,0,1,1,0,1,0,14,49.2821801,-123.12597,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,738000,725000,1085,10/24/2018,12/30/2018,67
4408,113 3602 ALDERCREST DRIVE,2367199,0,0,1,1,1,0,1,1,0,1,0,1,0,1031,0,2017,2,1,2,2,0,2,0,1,49.3076836,-122.9711762,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,749800,725000,703.2,5/7/2019,5/18/2019,11
4409,1003 838 AGNES STREET,2337681,0,0,0,0,1,1,0,1,1,0,0,1,0,559,0,1993,1,0,1,1,0,1,0,10,49.2016423,-122.9157734,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,369900,360450,644.81,2/1/2019,2/23/2019,22
4410,46 1910 CEDAR VILLAGE CRESCENT,2345258,0,0,0,0,0,0,0,0,0,0,1,1,0,1800,0,1980,1,1,3,2,0,2,0,0,49.3267565,-123.0442331,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,769000,725000,402.78,3/4/2019,4/29/2019,56
4411,416 3588 VANNESS AVENUE,2327397,0,1,0,0,0,0,0,1,0,0,0,1,0,982,0,1999,2,0,3,2,0,2,0,4,49.2361798,-123.0279146,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,749000,725000,738.29,12/10/2018,2/22/2019,74
4412,2502 4888 BRENTWOOD DRIVE,2360766,0,0,0,0,0,1,1,1,1,1,1,1,1,908,0,2008,1,1,2,2,0,2,0,25,49.2658629,-122.9927637,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,699900,725000,798.46,4/18/2019,05/06/2019,18
4413,1856 SALISBURY AVENUE,2338368,0,1,0,0,0,0,0,0,0,0,0,0,0,1941,5841,1939,3,0,3,2,0,2,0,0,49.2212135,-122.957547,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,799800,725000,373.52,2/1/2019,4/25/2019,83
4414,4519 ELMGROVE DRIVE,2332865,0,1,1,1,0,0,0,0,0,1,1,1,1,1606,0,1974,1,1,3,3,2,1,0,0,49.2437745,-122.9962498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,749000,725000,451.43,1/16/2019,5/13/2019,117
4415,1609 1082 SEYMOUR STREET,2375837,0,0,0,0,0,1,0,1,0,1,0,1,1,776,0,2006,1,1,2,2,0,2,0,16,49.2840145,-123.1138854,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,699000,725000,934.28,6/3/2019,06/10/2019,7
4416,112 1480 SOUTHVIEW STREET,2319045,0,0,0,0,0,0,0,0,0,0,1,0,0,1421,0,2013,2,1,3,3,1,2,0,0,49.3048378,-122.7534338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,759000,725000,510.2,10/29/2018,04/05/2019,158
